Latitude, Longitude, Height
51.54355, 7.25036, 61.6
51.5435, 7.25043, 61.9
51.54348, 7.2506, 62.8
51.54337, 7.25091, 68.4
51.54325, 7.25085, 68.9
51.54226, 7.2511, 74.1
51.542, 7.25121, 75.1
51.54232, 7.25125, 76.2
51.54233, 7.25189, 76.6
51.54217, 7.25188, 76.5
51.54202, 7.25193, 76.3
51.54176, 7.25203, 77.4
51.54147, 7.25226, 77.2
51.54122, 7.25249, 77
51.54099, 7.25277, 75.6
51.54084, 7.25298, 75.8
51.54063, 7.2533, 75.7
51.54042, 7.2537, 74.9
51.5403, 7.25396, 75
51.54021, 7.2543, 76.5
51.54012, 7.25474, 76.5
51.54007, 7.25509, 76
51.54021, 7.25565, 76.1
51.54069, 7.25633, 76.4
51.54144, 7.25507, 77.7
51.54158, 7.25544, 76.7
51.54178, 7.25611, 77.6
51.5419, 7.25599, 77.6
51.5421, 7.25586, 78.1
51.54356, 7.25475, 82.5
51.54356, 7.25471, 82.4
51.5429, 7.25526, 79.5
51.54266, 7.25544, 78.9
51.5425, 7.25517, 77.5
51.54264, 7.25491, 77.9
51.54277, 7.25464, 77.3
51.54286, 7.25441, 76.9
51.54295, 7.25406, 77.5
51.543, 7.25386, 77.3
51.54399, 7.25281, 66.9
51.54398, 7.25255, 66.7
51.54397, 7.25226, 66
51.54393, 7.25192, 67.6
51.54392, 7.25164, 66.8
51.54388, 7.25139, 66.2
51.54378, 7.251, 63.1
51.54368, 7.25071, 60.6
